GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,edu.hm.gaertner.simon.lab23.a33,OrderedRoman,0,57,5,9,0,14,5,6,0,4
JaCoCo Coverage Report,edu.hm.gaertner.simon.lab23.a33,RomanByFactors,4,80,1,11,2,17,1,7,0,2
JaCoCo Coverage Report,edu.hm.gaertner.simon.lab23.a33,RomanLexicalOrder,0,43,1,3,0,12,1,3,0,2
JaCoCo Coverage Report,edu.hm.gaertner.simon.lab23.a33,RomanTextLengthOrder,0,26,0,4,0,7,0,4,0,2
