GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,edu.hm.gaertner.simon.lab23.a44,Which,0,21,0,0,0,4,0,1,0,1
JaCoCo Coverage Report,edu.hm.gaertner.simon.lab23.a44,ListOps,0,179,0,24,0,34,0,18,0,6
