GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,edu.hm.gaertner.simon.lab23.a31,MonoSet,0,58,0,8,0,18,0,11,0,7
JaCoCo Coverage Report,edu.hm.gaertner.simon.lab23.a31,MonoSetIterator,0,36,0,4,0,11,0,8,0,6
