GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,edu.hm.gaertner.simon.lab23.a42,StringCharsMain.new Iterator() {...},31,0,2,0,5,0,4,0,3,0
JaCoCo Coverage Report,edu.hm.gaertner.simon.lab23.a42,StringCharsMain,47,0,4,0,11,0,5,0,3,0
